target_prevalence,negative_weight,category,pairs,positive_examples,unweighted_prevalence,weighted_prevalence,average_precision,roc_auc
0.066,4.90523825561486,Автотовары,2859,512,0.17908359566281917,0.042579399527609335,0.205230505932893,0.707492693465059
0.066,4.90523825561486,Аптека,2692,210,0.07800891530460624,0.01695626712596449,0.20664541286341467,0.8962645332105427
0.066,4.90523825561486,Бытовая техника,2682,969,0.36129753914988816,0.10339669196367164,0.2935020805112921,0.7362697805948161
0.066,4.90523825561486,Бытовая химия,2571,1226,0.4768572539867756,0.1567064455929254,0.3310444753678247,0.6826112664269169
0.066,4.90523825561486,Галантерея и аксессуары,2649,444,0.16761041902604756,0.03943144000744487,0.11312564993020428,0.7165757594328988
0.066,4.90523825561486,Детские товары,2683,1528,0.569511740588893,0.21241250295802983,0.4142180842006796,0.6977298225334833
0.066,4.90523825561486,Дом и сад,2632,656,0.24924012158054712,0.06338929336647137,0.22635246686721763,0.7383923391675685
0.066,4.90523825561486,Канцелярские товары,2570,857,0.33346303501945523,0.09255186309444699,0.20951242296978784,0.6828767043972164
0.066,4.90523825561486,Красота и гигиена,2635,943,0.3578747628083491,0.10202687113979078,0.2615790402433445,0.7190778637666077
0.066,4.90523825561486,Мебель,2806,401,0.1429080541696365,0.032873977553199325,0.1372262982602081,0.7114142917135404
0.066,4.90523825561486,Музыкальные инструменты,2709,592,0.21853082318198597,0.05393394668503385,0.36766648667050794,0.837904862822196
0.066,4.90523825561486,Обувь,2797,281,0.10046478369681802,0.02226169390242272,0.06952542783743539,0.7318697701259946
0.066,4.90523825561486,Одежда,3531,415,0.11753044463324837,0.026433588397789573,0.057483761938294686,0.7182660036809594
0.066,4.90523825561486,Продукты питания,2685,754,0.2808193668528864,0.07373351151169333,0.2826393982972105,0.7245984474997461
0.066,4.90523825561486,Спорт и отдых,2651,709,0.26744624669935874,0.069272290342913,0.2006916291018602,0.7180621667279127
0.066,4.90523825561486,Строительство и ремонт,2724,612,0.22466960352422907,0.055779040357612567,0.22921385669647865,0.7667007854278041
0.066,4.90523825561486,Товары для животных,2734,979,0.3580833942940746,0.10211006817251324,0.2965364044846911,0.7135131202546896
0.066,4.90523825561486,Хобби и творчество,2680,1236,0.46119402985074626,0.14857262026478835,0.40758070228408133,0.7757479336435071
0.066,4.90523825561486,Электроника,2748,471,0.17139737991266377,0.04046312665924075,0.14302452042786992,0.773919383999691
0.066,4.90523825561486,Ювелирные изделия,2849,333,0.11688311688311688,0.02627306107346943,0.059423982290056916,0.6648405161918642
0.05,6.585833803577124,Автотовары,2859,512,0.17908359566281917,0.03206221685806705,0.17332160656099785,0.7074926934650702
0.05,6.585833803577124,Аптека,2692,210,0.07800891530460624,0.012684192979482298,0.1714907129634146,0.8962645332105489
0.05,6.585833803577124,Бытовая техника,2682,969,0.36129753914988816,0.07909859724741726,0.24475421820829812,0.7362697805948242
0.05,6.585833803577124,Бытовая химия,2571,1226,0.4768572539867756,0.12157938403943824,0.27680472603318534,0.6826112664269199
0.05,6.585833803577124,Галантерея и аксессуары,2649,444,0.16761041902604756,0.029667714507557896,0.08882203505671893,0.7165757594329114
0.05,6.585833803577124,Детские товары,2683,1528,0.569511740588893,0.16727537454523642,0.35110704719425123,0.6977298225334834
0.05,6.585833803577124,Дом и сад,2632,656,0.24924012158054712,0.0479896731050476,0.18512342317532862,0.738392339167579
0.05,6.585833803577124,Канцелярские товары,2570,857,0.33346303501945523,0.07060161046060989,0.1700276608182323,0.6828767043972264
0.05,6.585833803577124,Красота и гигиена,2635,943,0.3578747628083491,0.07802267025541197,0.21695340017856876,0.7190778637666161
0.05,6.585833803577124,Мебель,2806,401,0.1429080541696365,0.024692224206109288,0.11634354469841773,0.7114142917135533
0.05,6.585833803577124,Музыкальные инструменты,2709,592,0.21853082318198597,0.04073148753144903,0.3212876657463429,0.8379048628222036
0.05,6.585833803577124,Обувь,2797,281,0.10046478369681802,0.016675609927024677,0.053232783421672425,0.7318697701260068
0.05,6.585833803577124,Одежда,3531,415,0.11753044463324837,0.01982188187632195,0.04350166226830324,0.7182660036809582
0.05,6.585833803577124,Продукты питания,2685,754,0.2808193668528864,0.05597106992104631,0.24241241325167381,0.7245984474997562
0.05,6.585833803577124,Спорт и отдых,2651,709,0.26744624669935874,0.05252361818621581,0.16441879929156455,0.7180621667279232
0.05,6.585833803577124,Строительство и ремонт,2724,612,0.22466960352422907,0.04214504218246914,0.1933986899229074,0.7667007854278143
0.05,6.585833803577124,Товары для животных,2734,979,0.3580833942940746,0.07808799541009315,0.25099984687825494,0.7135131202546988
0.05,6.585833803577124,Хобби и творчество,2680,1236,0.46119402985074626,0.11502014142058938,0.34664938758679703,0.7757479336435112
0.05,6.585833803577124,Электроника,2748,471,0.17139737991266377,0.03045204101545124,0.11183061263426854,0.7739193839997015
0.05,6.585833803577124,Ювелирные изделия,2849,333,0.11688311688311688,0.019700693982617916,0.04580962296409049,0.6648405161918779
0.03,11.207471560473353,Автотовары,2859,512,0.17908359566281917,0.0190931245035365,0.126535496300704,0.707492693465054
0.03,11.207471560473353,Аптека,2692,210,0.07800891530460624,0.0074927896849819615,0.12053005277875031,0.8962645332105411
0.03,11.207471560473353,Бытовая техника,2682,969,0.36129753914988816,0.04804784248191928,0.17086034998915664,0.7362697805948202
0.03,11.207471560473353,Бытовая химия,2571,1226,0.4768572539867756,0.07521449667322323,0.1945659425565592,0.6826112664269266
0.03,11.207471560473353,Галантерея и аксессуары,2649,444,0.16761041902604756,0.017649531728571272,0.05683623279086546,0.7165757594328951
0.03,11.207471560473353,Детские товары,2683,1528,0.569511740588893,0.10557860158829092,0.25013617974018143,0.697729822533492
0.03,11.207471560473353,Дом и сад,2632,656,0.24924012158054712,0.028769451861836604,0.12479552677766353,0.7383923391675676
0.03,11.207471560473353,Канцелярские товары,2570,857,0.33346303501945523,0.04273163596839349,0.11433199374735417,0.68287670439722
0.03,11.207471560473353,Красота и гигиена,2635,943,0.3578747628083491,0.04737255179455081,0.15269808021252654,0.7190778637666123
0.03,11.207471560473353,Мебель,2806,401,0.1429080541696365,0.014659128237031182,0.08830638834771283,0.7114142917135345
0.03,11.207471560473353,Музыкальные инструменты,2709,592,0.21853082318198597,0.024343889720801926,0.24571442466208654,0.8379048628221956
0.03,11.207471560473353,Обувь,2797,281,0.10046478369681802,0.009866920022883677,0.03241514344371936,0.7318697701259886
0.03,11.207471560473353,Одежда,3531,415,0.11753044463324837,0.011743904312498119,0.02606757244593358,0.7182660036809572
0.03,11.207471560473353,Продукты питания,2685,754,0.2808193668528864,0.03366728604484911,0.1820512992635407,0.7245984474997452
0.03,11.207471560473353,Спорт и отдых,2651,709,0.26744624669935874,0.031547692735359,0.114021328307338,0.7180621667279126
0.03,11.207471560473353,Строительство и ремонт,2724,612,0.22466960352422907,0.025203667941679813,0.14170903414505923,0.7667007854278027
0.03,11.207471560473353,Товары для животных,2734,979,0.3580833942940746,0.04741353456872649,0.18305001438885665,0.7135131202546919
0.03,11.207471560473353,Хобби и творчество,2680,1236,0.46119402985074626,0.07095460201334272,0.24923831329728197,0.7757479336435157
0.03,11.207471560473353,Электроника,2748,471,0.17139737991266377,0.01812206695806589,0.07002849145450135,0.7739193839996883
0.03,11.207471560473353,Ювелирные изделия,2849,333,0.11688311688311688,0.011671515829651036,0.02874130163334216,0.6648405161918564
