kind,pattern,support,negative_support,positive_support,positive_rate,fpr,fnr,false_positives,false_negatives
word,вода,187,126,61,0.32620320855614976,0.1984126984126984,0.7377049180327869,25,45
word,молнии,168,125,43,0.25595238095238093,0.2,0.7441860465116279,25,32
word,панель,144,114,30,0.20833333333333334,0.21929824561403508,0.4,25,12
word,на молнии,159,118,41,0.2578616352201258,0.2033898305084746,0.7317073170731707,24,30
word,варочная панель,111,88,23,0.2072072072072072,0.2727272727272727,0.30434782608695654,24,7
word,pro,679,566,113,0.16642120765832105,0.04063604240282685,0.7522123893805309,23,85
word,стиральный,247,127,120,0.48582995951417,0.18110236220472442,0.4666666666666667,23,56
word,1 л,180,107,73,0.40555555555555556,0.21495327102803738,0.4931506849315068,23,36
word,18,277,165,112,0.4043321299638989,0.13333333333333333,0.5535714285714286,22,62
word,водонагреватель,117,70,47,0.4017094017094017,0.3142857142857143,0.40425531914893614,22,19
word,электрическая,117,75,42,0.358974358974359,0.29333333333333333,0.6666666666666666,22,28
word,белый,410,279,131,0.3195121951219512,0.07526881720430108,0.4961832061068702,21,65
word,рюкзак,331,225,106,0.3202416918429003,0.09333333333333334,0.7735849056603774,21,82
word,32,207,158,49,0.23671497584541062,0.13291139240506328,0.5510204081632653,21,27
word,300 мл,131,76,55,0.4198473282442748,0.27631578947368424,0.4727272727272727,21,26
word,чистящее,121,53,68,0.5619834710743802,0.39622641509433965,0.2647058823529412,21,18
word,зубная,103,49,54,0.5242718446601942,0.42857142857142855,0.6481481481481481,21,35
word,70,289,219,70,0.2422145328719723,0.091324200913242,0.5142857142857142,20,36
word,электрический,200,151,49,0.245,0.13245033112582782,0.673469387755102,20,33
word,пород,191,132,59,0.3089005235602094,0.15151515151515152,0.4406779661016949,20,26
word,сухой корм,183,115,68,0.37158469945355194,0.17391304347826086,0.47058823529411764,20,32
word,750,153,73,80,0.5228758169934641,0.273972602739726,0.5,20,40
word,газовая,131,93,38,0.2900763358778626,0.21505376344086022,0.4473684210526316,20,17
word,5 см,274,133,141,0.5145985401459854,0.14285714285714285,0.41134751773049644,19,58
word,35,192,114,78,0.40625,0.16666666666666666,0.47435897435897434,19,37
word,75,674,581,93,0.13798219584569732,0.03098106712564544,0.5913978494623656,18,55
word,g,356,282,74,0.20786516853932585,0.06382978723404255,0.6756756756756757,18,50
word,стиральный порошок,199,105,94,0.4723618090452261,0.17142857142857143,0.44680851063829785,18,42
word,26,157,89,68,0.43312101910828027,0.20224719101123595,0.6470588235294118,18,44
word,для белья,122,64,58,0.47540983606557374,0.28125,0.5862068965517241,18,34
word,машинка,115,73,42,0.3652173913043478,0.2465753424657534,0.5714285714285714,18,24
word,20 см,104,51,53,0.5096153846153846,0.35294117647058826,0.37735849056603776,18,20
word,90,336,222,114,0.3392857142857143,0.07657657657657657,0.6140350877192983,17,70
word,600,209,133,76,0.36363636363636365,0.12781954887218044,0.3815789473684211,17,29
word,велосипед,204,177,27,0.1323529411764706,0.096045197740113,0.8518518518518519,17,23
word,для волос,178,100,78,0.43820224719101125,0.17,0.6538461538461539,17,51
word,комплект,556,465,91,0.16366906474820145,0.034408602150537634,0.8351648351648352,16,76
word,150,255,170,85,0.3333333333333333,0.09411764705882353,0.6470588235294118,16,55
word,400,251,149,102,0.4063745019920319,0.10738255033557047,0.4803921568627451,16,49
word,со,246,174,72,0.2926829268292683,0.09195402298850575,0.5416666666666666,16,39
word,5 кг,239,125,114,0.4769874476987448,0.128,0.6228070175438597,16,71
word,шампунь,229,100,129,0.5633187772925764,0.16,0.5813953488372093,16,75
word,no,534,426,108,0.20224719101123595,0.035211267605633804,0.6666666666666666,15,72
word,r,423,338,85,0.20094562647754138,0.04437869822485207,0.6470588235294118,15,55
word,m,381,279,102,0.2677165354330709,0.053763440860215055,0.6568627450980392,15,67
word,f,324,266,58,0.17901234567901234,0.05639097744360902,0.7068965517241379,15,41
word,v,323,226,97,0.30030959752321984,0.06637168141592921,0.711340206185567,15,69
word,мыло,114,64,50,0.43859649122807015,0.234375,0.54,15,27
word,детский,114,68,46,0.40350877192982454,0.22058823529411764,0.5869565217391305,15,27
word,mr,104,71,33,0.3173076923076923,0.2112676056338028,0.5151515151515151,15,17
word,кондиционер для,102,50,52,0.5098039215686274,0.3,0.5769230769230769,15,30
word,печь,100,74,26,0.26,0.20270270270270271,0.34615384615384615,15,9
word,electrolux,100,58,42,0.42,0.25862068965517243,0.4523809523809524,15,19
word,гитара,557,478,79,0.14183123877917414,0.029288702928870293,0.5569620253164557,14,44
word,14,322,217,105,0.32608695652173914,0.06451612903225806,0.5904761904761905,14,62
word,11,245,153,92,0.37551020408163266,0.0915032679738562,0.6304347826086957,14,58
word,крем,225,100,125,0.5555555555555556,0.14,0.72,14,90
