specialist,slice_type,slice_value,iid_n,iid_macro_ap_delta,iid_logloss_gain,iid_mae_gain,iid_binary_net_correction_rate,hard_n,hard_macro_ap_delta,hard_logloss_gain,hard_mae_gain,hard_binary_net_correction_rate,ood_n,ood_macro_ap_delta,ood_logloss_gain,ood_mae_gain,ood_binary_net_correction_rate,iid_better,hard_better,ood_better,stable_iid_hard,stable_all_three,production_candidate,min_iid_hard_logloss_gain
minilm,category,Канцелярские товары,637.0,0.005517156707194659,-0.004355541975447511,-0.0046261731251742355,0.0141287284144427,282.0,-0.012286591518428258,-0.0028331918343624525,-0.004951129934555646,-0.0070921985815602835,,,,,,False,False,False,False,False,False,-0.004355541975447511
minilm,numeric_dimensions_state,both_missing,3527.0,-0.004378104751079803,-1.1645933065183402e-05,-0.00021239864149917502,0.003685851998865892,1866.0,-0.0006913314528587677,-0.0044755098513575555,-0.0007071853474581476,-0.0010718113612004287,11375.0,-0.01871229439192934,-0.0021151892395062074,-0.00918790802055494,-0.008263736263736264,False,False,False,False,False,False,-0.0044755098513575555
minilm,title_similarity,high,2037.0,0.01520946873183815,-0.0034167761682137613,-0.0013220497525763338,0.0,1583.0,-0.03229393544570802,-0.004530989385420364,0.0002776560234997995,0.0006317119393556538,4845.0,-0.03341036822560339,0.007174572484410775,-0.004522188797602608,-0.0018575851393188853,False,False,False,False,False,False,-0.004530989385420364
rumodernbert,numeric_optical_state,both_missing,11494.0,-0.008721989029832566,-0.004550847375638492,-0.01848626550768733,-0.00565512441273708,5516.0,-0.025198085337125087,0.02680742659110204,-0.021575596777444413,-0.02048585931834663,41163.0,-0.008248084546432333,0.009770389580780981,-0.0162404152767219,-0.001384738721667517,False,False,False,False,False,False,-0.004550847375638492
minilm,attribute_count,40+,166.0,-0.1604415584415586,-0.004605881366742357,0.005185273311359328,0.030120481927710843,60.0,0.02993095331380563,0.04687154324278761,0.007276554287333662,0.016666666666666666,1142.0,0.0017508267938662891,-2.5797056904945444e-05,-0.008371417419948238,0.0017513134851138354,False,False,False,False,False,False,-0.004605881366742357
minilm,numeric_dimensions_state,match,2283.0,0.007715087610405735,-0.0048568235539090295,-0.0031140294675988333,-0.0004380201489268506,1170.0,-0.0015926660109256696,0.01504212249183739,0.0006474408102866052,-0.007692307692307693,4991.0,-0.02640558494114631,-0.0033905143024615387,-0.011504520810668672,-0.0010018032458425166,False,False,False,False,False,False,-0.0048568235539090295
rumodernbert,numeric_power_state,both_missing,10973.0,-0.009356649224391833,-0.004859215222918731,-0.018799066084645405,-0.0056502323885901755,5361.0,-0.01972753039692582,0.02643730150839784,-0.021262221907418763,-0.01846670397313934,28529.0,-0.006295340909900915,0.010321350105463352,-0.015939868331474188,-0.002033019033264398,False,False,False,False,False,False,-0.004859215222918731
rumodernbert,numeric_conflict_count,one,4485.0,-0.0010443294540372072,-0.004892335570785176,-0.01817699761005389,-0.0013377926421404682,2119.0,-0.019780848295619102,0.026241989530329468,-0.020830781080809727,-0.01793298725814063,18172.0,-0.009077844905206467,0.0037217092743712125,-0.01566093356800422,-0.0015958617653532908,False,False,False,False,False,False,-0.004892335570785176
rumodernbert,numeric_ram_storage_state,both_missing,11647.0,-0.009815388103006528,-0.004918211828918645,-0.01816171251505509,-0.005494977247359835,5660.0,-0.02874278319404211,0.022997902555702294,-0.021605993953934085,-0.020848056537102474,41122.0,-0.00830729104282879,0.009691880539797798,-0.016270180628829654,-0.0014104372355430183,False,False,False,False,False,False,-0.004918211828918645
minilm,title_exact_near,high_nonexact,2017.0,0.01478874831264454,-0.0032841631930449616,-0.0009877467374241739,0.0009915716410510659,1560.0,-0.031966979754557756,-0.005015074780754856,8.479528059512795e-05,0.000641025641025641,4812.0,-0.03340659416507752,0.00729175812851762,-0.004591232517767725,-0.0018703241895261845,False,False,False,False,False,False,-0.005015074780754856
minilm,model_sku_code_state,match,1114.0,-0.031471499608148656,-0.005088840197403389,-0.0007827529745221684,-0.0026929982046678637,775.0,0.0380913306335639,-0.0003439607079650856,-0.0032980412463920433,-0.0025806451612903226,4880.0,-0.03142500584962782,-0.008749950178231347,-0.015365912985779702,-0.0030737704918032786,False,False,False,False,False,False,-0.005088840197403389
minilm,title_code_state,match,1114.0,-0.031471499608148656,-0.005088840197403389,-0.0007827529745221684,-0.0026929982046678637,775.0,0.0380913306335639,-0.0003439607079650856,-0.0032980412463920433,-0.0025806451612903226,4880.0,-0.03142500584962782,-0.008749950178231347,-0.015365912985779702,-0.0030737704918032786,False,False,False,False,False,False,-0.005088840197403389
minilm,category,Хобби и творчество,628.0,-0.0018375602934002089,-0.005131787154831904,-0.009830444910586515,-0.009554140127388535,295.0,-0.043253285574489375,0.018197564787422175,0.012333699369801098,0.04406779661016949,,,,,,False,False,False,False,False,False,-0.005131787154831904
minilm,label,0,8882.0,,-0.005168983983447279,-0.0037168110549063976,-0.002702094122945283,4333.0,,-0.0016429324819409658,-0.0007608725518446316,-0.003000230786983614,32016.0,,-0.01371551586886554,-0.010941979018716456,-0.004903798100949526,False,False,False,False,False,False,-0.005168983983447279
minilm,title_similarity,near_exact,524.0,-0.017244848905086707,-0.00525603435844702,0.0005925695508586746,0.015267175572519083,841.0,-0.08433866452789285,-0.0035142951824836638,-0.0037834172927280036,-0.007134363852556481,1060.0,-0.004990439406348801,-0.011207261334247043,-0.010358197143233275,-0.0037735849056603774,False,False,False,False,False,False,-0.00525603435844702
rumodernbert,category,Хобби и творчество,628.0,0.0005491904500353195,-0.005275069443267259,-0.019104488637497807,-0.006369426751592357,295.0,-0.04834692820246933,0.08802575844363282,-0.005153987324309251,0.010169491525423728,,,,,,False,False,False,False,False,False,-0.005275069443267259
rumodernbert,bge_sequence_length,256-383,1521.0,-0.05228746212198965,-0.005377939882774977,-0.014824708042043713,-0.0026298487836949377,746.0,-0.00756675376721494,-0.002309295851663816,-0.024745544087958374,-0.028150134048257374,4784.0,-0.013605384926708597,0.007245728880530437,-0.019100214010449385,-0.0035535117056856185,False,False,False,False,False,False,-0.005377939882774977
rumodernbert,model_sku_code_state,one_missing,4230.0,-0.017167638095114457,-0.005524464078946711,-0.019586003938076857,-0.007565011820330969,1868.0,-0.028893423813943664,0.012635794615811708,-0.02332880564978816,-0.027837259100642397,13648.0,-0.013352269042179676,0.004403020829627822,-0.017036869998321637,-0.003443728018757327,False,False,False,False,False,False,-0.005524464078946711
