split,route_expert,oracle_policy,score_mode,route_budget,pairs,routed_pairs,route_coverage,positive_benefit_pairs,baseline_macro_ap,macro_ap,macro_ap_gain,gain_per_route_coverage,baseline_overall_ap,overall_ap,ap_category_count,routed_minilm,routed_rumodernbert,selection_uses_label
hard,rumodernbert,category_balanced_directional,blend_specialist_75,0.1,5814,572,0.09838321293429653,2015,0.3759746515593398,0.4101978694021834,0.0342232178428436,0.3478562736683439,0.42671110574515686,0.4609018427323859,18,0,572,True
hard,rumodernbert,category_balanced_directional,blend_specialist_75,0.15,5814,864,0.14860681114551083,2015,0.3759746515593398,0.4199832675582038,0.04400861599886402,0.29614131182568915,0.42671110574515686,0.47248843277048486,18,0,864,True
hard,rumodernbert,category_balanced_directional,blend_specialist_75,0.2,5814,1155,0.19865841073271415,2015,0.3759746515593398,0.43061764927520385,0.05464299771586406,0.27506007681388195,0.42671110574515686,0.48399731944417135,18,0,1155,True
hard,rumodernbert,category_balanced_directional,blend_specialist_75,0.3,5814,1695,0.2915376676986584,2015,0.3759746515593398,0.440100024240498,0.0641253726811582,0.21995570310811433,0.42671110574515686,0.49915920233487515,18,0,1695,True
hard,rumodernbert,category_balanced_directional,blend_specialist_75,0.4,5814,1987,0.3417612659098727,2015,0.3759746515593398,0.44353949592955744,0.06756484437021765,0.19769602675815068,0.42671110574515686,0.5056840237948184,18,0,1987,True
hard,best_expert,global_directional,blend_specialist_75,0.05,5814,290,0.04987960096319229,3678,0.3759746515593398,0.39859599315475575,0.022621341595415956,0.4535188966749944,0.42671110574515686,0.45230025211863234,18,200,90,True
hard,best_expert,global_directional,blend_specialist_75,0.1,5814,581,0.0999312005503956,3678,0.3759746515593398,0.41695894979609194,0.04098429823675215,0.41012514621080376,0.42671110574515686,0.4700655525869166,18,355,226,True
hard,best_expert,global_directional,blend_specialist_75,0.15,5814,872,0.1499828001375989,3678,0.3759746515593398,0.4329498480619084,0.056975196502568604,0.3798782023691902,0.42671110574515686,0.48563749189489,18,507,365,True
hard,best_expert,global_directional,blend_specialist_75,0.2,5814,1162,0.1998624011007912,3678,0.3759746515593398,0.44593120822746496,0.06995655666812517,0.3500235976492941,0.42671110574515686,0.4996755507321949,18,672,490,True
hard,best_expert,global_directional,blend_specialist_75,0.3,5814,1744,0.2999656002751978,3678,0.3759746515593398,0.46718746150586377,0.09121280994652398,0.3040775671038362,0.42671110574515686,0.5221231520055398,18,999,745,True
hard,best_expert,global_directional,blend_specialist_75,0.4,5814,2325,0.39989680082559337,3678,0.3759746515593398,0.4795007823445883,0.10352613078524853,0.25888211801524086,0.42671110574515686,0.5407031695976803,18,1338,987,True
hard,best_expert,category_balanced_directional,blend_specialist_75,0.05,5814,281,0.048331613347093225,3678,0.3759746515593398,0.3981681564861941,0.02219350492685429,0.45919230478551903,0.42671110574515686,0.45006765454979786,18,187,94,True
hard,best_expert,category_balanced_directional,blend_specialist_75,0.1,5814,572,0.09838321293429653,3678,0.3759746515593398,0.41665243065289165,0.04067777909355186,0.41346260078655683,0.42671110574515686,0.46753563932327463,18,348,224,True
hard,best_expert,category_balanced_directional,blend_specialist_75,0.15,5814,864,0.14860681114551083,3678,0.3759746515593398,0.43338605007993825,0.057411398520598456,0.3863308692115271,0.42671110574515686,0.48257878568665036,18,506,358,True
hard,best_expert,category_balanced_directional,blend_specialist_75,0.2,5814,1155,0.19865841073271415,3678,0.3759746515593398,0.445968222074503,0.0699935705151632,0.3523312718399643,0.42671110574515686,0.49594479566623173,18,662,493,True
hard,best_expert,category_balanced_directional,blend_specialist_75,0.3,5814,1737,0.29876160990712075,3678,0.3759746515593398,0.4644080777035339,0.08843342614419408,0.29599996522875327,0.42671110574515686,0.5176779668028557,18,1014,723,True
hard,best_expert,category_balanced_directional,blend_specialist_75,0.4,5814,2318,0.39869281045751637,3678,0.3759746515593398,0.4762777191025932,0.10030306754325341,0.25157982514947164,0.42671110574515686,0.53349709018669,18,1377,941,True
hard,minilm,global_directional,mean_normalized_rank,0.05,5814,290,0.04987960096319229,2877,0.3759746515593398,0.38462835687037866,0.008653705311038873,0.17349187130475865,0.42671110574515686,0.4362724673213204,18,290,0,True
hard,minilm,global_directional,mean_normalized_rank,0.1,5814,581,0.0999312005503956,2877,0.3759746515593398,0.39234744706350394,0.01637279550416415,0.16384067652531906,0.42671110574515686,0.4444181871149863,18,581,0,True
hard,minilm,global_directional,mean_normalized_rank,0.15,5814,872,0.1499828001375989,2877,0.3759746515593398,0.3988058299134607,0.022831178354120907,0.1522253107234621,0.42671110574515686,0.45045079194590276,18,872,0,True
hard,minilm,global_directional,mean_normalized_rank,0.2,5814,1162,0.1998624011007912,2877,0.3759746515593398,0.4042580015375669,0.028283349978227124,0.14151411082049267,0.42671110574515686,0.45608200910433255,18,1162,0,True
hard,minilm,global_directional,mean_normalized_rank,0.3,5814,1744,0.2999656002751978,2877,0.3759746515593398,0.4119338007823198,0.03595914922297999,0.11987757659541609,0.42671110574515686,0.4647207298403455,18,1744,0,True
hard,minilm,global_directional,mean_normalized_rank,0.4,5814,2325,0.39989680082559337,2877,0.3759746515593398,0.41834851142210405,0.04237385986276426,0.10596198763101568,0.42671110574515686,0.4722997089027923,18,2325,0,True
hard,minilm,category_balanced_directional,mean_normalized_rank,0.05,5814,281,0.048331613347093225,2877,0.3759746515593398,0.3848873181238301,0.008912666564490301,0.18440656016351106,0.42671110574515686,0.436198054961234,18,281,0,True
hard,minilm,category_balanced_directional,mean_normalized_rank,0.1,5814,572,0.09838321293429653,2877,0.3759746515593398,0.39262992548988707,0.016655273930547276,0.16928979481154172,0.42671110574515686,0.44390816281199885,18,572,0,True
hard,minilm,category_balanced_directional,mean_normalized_rank,0.15,5814,864,0.14860681114551083,2877,0.3759746515593398,0.39976693492642773,0.02379228336708794,0.16010224015769595,0.42671110574515686,0.4506142082109724,18,864,0,True
hard,minilm,category_balanced_directional,mean_normalized_rank,0.2,5814,1155,0.19865841073271415,2877,0.3759746515593398,0.4039247792307773,0.027950127671437508,0.14069440890193738,0.42671110574515686,0.45615052892801156,18,1155,0,True
hard,minilm,category_balanced_directional,mean_normalized_rank,0.3,5814,1737,0.29876160990712075,2877,0.3759746515593398,0.4123867118685264,0.03641206030918659,0.12187663709707014,0.42671110574515686,0.4648022322060193,18,1737,0,True
hard,minilm,category_balanced_directional,mean_normalized_rank,0.4,5814,2296,0.3949088407292742,2877,0.3759746515593398,0.4179089434946301,0.0419342919352903,0.106187270606175,0.42671110574515686,0.4712698602631602,18,2296,0,True
hard,rumodernbert,global_directional,mean_normalized_rank,0.05,5814,290,0.04987960096319229,2763,0.3759746515593398,0.38247642130986104,0.006501769750521247,0.13034927355010528,0.42671110574515686,0.4343622229430917,18,0,290,True
hard,rumodernbert,global_directional,mean_normalized_rank,0.1,5814,581,0.0999312005503956,2763,0.3759746515593398,0.3886574474351516,0.012682795875811836,0.12691527576931155,0.42671110574515686,0.44060386633306997,18,0,581,True
hard,rumodernbert,global_directional,mean_normalized_rank,0.15,5814,872,0.1499828001375989,2763,0.3759746515593398,0.394353848215127,0.01837919665578719,0.12254202907883797,0.42671110574515686,0.4462658646512565,18,0,872,True
hard,rumodernbert,global_directional,mean_normalized_rank,0.2,5814,1162,0.1998624011007912,2763,0.3759746515593398,0.39944217515181074,0.02346752359247095,0.1174184011760982,0.42671110574515686,0.45138119021405065,18,0,1162,True
hard,rumodernbert,global_directional,mean_normalized_rank,0.3,5814,1744,0.2999656002751978,2763,0.3759746515593398,0.4063542253448771,0.030379573785537295,0.10127685893871205,0.42671110574515686,0.459115718643419,18,0,1744,True
hard,rumodernbert,global_directional,mean_normalized_rank,0.4,5814,2325,0.39989680082559337,2763,0.3759746515593398,0.4124915914382218,0.03651693987888199,0.09131590901325588,0.42671110574515686,0.466229584006285,18,0,2325,True
hard,rumodernbert,category_balanced_directional,mean_normalized_rank,0.05,5814,281,0.048331613347093225,2763,0.3759746515593398,0.3834296515812017,0.007455000021861891,0.1542468687797332,0.42671110574515686,0.43528007154933457,18,0,281,True
hard,rumodernbert,category_balanced_directional,mean_normalized_rank,0.1,5814,572,0.09838321293429653,2763,0.3759746515593398,0.3901854520084828,0.014210800449143024,0.14444334582398172,0.42671110574515686,0.44190437589061715,18,0,572,True
hard,rumodernbert,category_balanced_directional,mean_normalized_rank,0.15,5814,864,0.14860681114551083,2763,0.3759746515593398,0.3958233645288877,0.019848712969547933,0.1335652976909163,0.42671110574515686,0.4479107314444285,18,0,864,True
hard,rumodernbert,category_balanced_directional,mean_normalized_rank,0.2,5814,1155,0.19865841073271415,2763,0.3759746515593398,0.39984077223065645,0.02386612067131666,0.12013647236626411,0.42671110574515686,0.4531887421466274,18,0,1155,True
hard,rumodernbert,category_balanced_directional,mean_normalized_rank,0.3,5814,1737,0.29876160990712075,2763,0.3759746515593398,0.40652753813232684,0.030552886572987048,0.10226510220802919,0.42671110574515686,0.46102716904501073,18,0,1737,True
hard,rumodernbert,category_balanced_directional,mean_normalized_rank,0.4,5814,2307,0.39680082559339525,2763,0.3759746515593398,0.412943086382483,0.036968434823143215,0.09316622456079525,0.42671110574515686,0.4670319611828134,18,0,2307,True
hard,best_expert,global_directional,mean_normalized_rank,0.05,5814,290,0.04987960096319229,3907,0.3759746515593398,0.3847354827849058,0.008760831225566035,0.1756395611911756,0.42671110574515686,0.4367487226615416,18,157,133,True
hard,best_expert,global_directional,mean_normalized_rank,0.1,5814,581,0.0999312005503956,3907,0.3759746515593398,0.39178282322835645,0.015808171669016657,0.15819055091852469,0.42671110574515686,0.44415854167700836,18,311,270,True
hard,best_expert,global_directional,mean_normalized_rank,0.15,5814,872,0.1499828001375989,3907,0.3759746515593398,0.39947916729001925,0.023504515730679465,0.15671474135111285,0.42671110574515686,0.4523365139338077,18,461,411,True
hard,best_expert,global_directional,mean_normalized_rank,0.2,5814,1162,0.1998624011007912,3907,0.3759746515593398,0.4052521095871835,0.029277458027843706,0.14648807312726617,0.42671110574515686,0.4588523668045509,18,622,540,True
hard,best_expert,global_directional,mean_normalized_rank,0.3,5814,1744,0.2999656002751978,3907,0.3759746515593398,0.41825579578717187,0.04228114422783208,0.14095330994301358,0.42671110574515686,0.47139652616831945,18,915,829,True
hard,best_expert,global_directional,mean_normalized_rank,0.4,5814,2325,0.39989680082559337,3907,0.3759746515593398,0.4281513873545959,0.05217673579525611,0.1304755018983308,0.42671110574515686,0.4812704471988845,18,1210,1115,True
hard,best_expert,category_balanced_directional,mean_normalized_rank,0.05,5814,281,0.048331613347093225,3907,0.3759746515593398,0.3846261997187239,0.008651548159384126,0.17900391814469505,0.42671110574515686,0.43689149818289785,18,160,121,True
hard,best_expert,category_balanced_directional,mean_normalized_rank,0.1,5814,572,0.09838321293429653,3907,0.3759746515593398,0.3927703424874427,0.016795690928102902,0.1707170403076753,0.42671110574515686,0.44511839961242344,18,313,259,True
hard,best_expert,category_balanced_directional,mean_normalized_rank,0.15,5814,864,0.14860681114551083,3907,0.3759746515593398,0.4011151186728779,0.025140467113538123,0.1691743932848503,0.42671110574515686,0.4529267173980149,18,475,389,True
hard,best_expert,category_balanced_directional,mean_normalized_rank,0.2,5814,1155,0.19865841073271415,3907,0.3759746515593398,0.40753605983302543,0.03156140827368564,0.15887275125818903,0.42671110574515686,0.45963941230641375,18,627,528,True
hard,best_expert,category_balanced_directional,mean_normalized_rank,0.3,5814,1737,0.29876160990712075,3907,0.3759746515593398,0.4196130451237381,0.0436383935643983,0.1460642603243591,0.42671110574515686,0.4732396207925419,18,921,816,True
hard,best_expert,category_balanced_directional,mean_normalized_rank,0.4,5814,2318,0.39869281045751637,3907,0.3759746515593398,0.4266777702445611,0.050703118685221316,0.1271733960465387,0.42671110574515686,0.48194502131128003,18,1203,1115,True
ood,minilm,global_directional,replace,0.05,41171,2058,0.04998664108231522,17578,0.6412704537924441,0.7097605942495768,0.06849014045713275,1.370168888610599,0.7448364257608138,0.7826466911284,2,2058,0,True
ood,minilm,global_directional,replace,0.1,41171,4117,0.0999975711058755,17578,0.6412704537924441,0.7357850766770471,0.094514622884603,0.9451691860048554,0.7448364257608138,0.7996716275350155,2,4117,0,True
ood,minilm,global_directional,replace,0.15,41171,6175,0.14998421218819072,17578,0.6412704537924441,0.7474694818886987,0.10619902809625459,0.7080680462754491,0.7448364257608138,0.8097408433270054,2,6175,0,True
ood,minilm,global_directional,replace,0.2,41171,8234,0.199995142211751,17578,0.6412704537924441,0.7532009541291405,0.11193050033669638,0.5596660953803895,0.7448364257608138,0.8152391618918653,2,8234,0,True
ood,minilm,global_directional,replace,0.3,41171,12351,0.2999927133176265,17578,0.6412704537924441,0.7582362522201381,0.11696579842769406,0.389895464907019,0.7448364257608138,0.8208134348855466,2,12351,0,True
ood,minilm,global_directional,replace,0.4,41171,16468,0.399990284423502,17578,0.6412704537924441,0.7590197353011993,0.11774928150875519,0.29438035395900897,0.7448364257608138,0.8216428226229515,2,16468,0,True
ood,minilm,category_balanced_directional,replace,0.05,41171,2057,0.04996235214107017,17578,0.6412704537924441,0.7135620296421632,0.07229157584971913,1.4469209865380583,0.7448364257608138,0.7825841401641475,2,2057,0,True
ood,minilm,category_balanced_directional,replace,0.1,41171,4116,0.09997328216463044,17578,0.6412704537924441,0.7373793573317269,0.09610890353928281,0.961345886204036,0.7448364257608138,0.799259205791548,2,4116,0,True
ood,minilm,category_balanced_directional,replace,0.15,41171,6175,0.14998421218819072,17578,0.6412704537924441,0.7472662741612368,0.10599582036879274,0.706713185490456,0.7448364257608138,0.8080951308187274,2,6175,0,True
ood,minilm,category_balanced_directional,replace,0.2,41171,8233,0.19997085327050593,17578,0.6412704537924441,0.7526423685959827,0.11137191480353859,0.5569407390230156,0.7448364257608138,0.8138924018145173,2,8233,0,True
ood,minilm,category_balanced_directional,replace,0.3,41171,12351,0.2999927133176265,17578,0.6412704537924441,0.7569377809336699,0.11566732714122585,0.38556712215459554,0.7448364257608138,0.8189278502628559,2,12351,0,True
ood,minilm,category_balanced_directional,replace,0.4,41171,16329,0.39661412159043985,17578,0.6412704537924441,0.7588165531628186,0.11754609937037452,0.2963739639400876,0.7448364257608138,0.8213707044868481,2,16329,0,True
